M,N,unoptimized_ms,optimized_ms
4096,4096,0.1547,0.1445
8192,8192,0.1531,0.1583
16384,16384,0.6256,0.6493
32768,32768,3.6945,3.7234
8192,4096,0.0785,0.0781
4096,8192,0.0817,0.0838
16384,8192,0.3142,0.3256
8192,16384,0.3237,0.3343
2048,2048,0.0362,0.1414
1024,1024,0.0307,0.1315
